Sentence,Type,Word
"Did Paul ever talk about working a mine up there?", 1, "mine"
"Long pants or grubby clothes weren't necessary, as Dean had no intention of entering the mine.", 1, "mine"
"They'd been in the mine for forty years.", 1, "mine"
"Where's the mine that everyone is so concerned about?", 1, "mine"
"Is someone in the mine, do you suppose?", 1, "mine"
"By that time, the mine was open anyway, so going in there wasn't breaking and entering.", 1, "mine"
"We based the age on when the ownership of the mine changed hands and when it was last worked.", 1, "mine"
"And don't you dare go in that mine!", 1, "mine"
"He gave only a glance up the path to the mine before returning to his Jeep.", 1, "mine"
"Besides, it's her word against mine.", 0, "mine"
"I suppose it's an offer on the mine.", 1, "mine"
"How did you locate the skeleton in the mine to be able to swap it?", 1, "mine"
"Most of 'em worked the Idarado Mine.", 1, "mine"
"A man named Dawkins bought the mine from the Rowland estate.", 1, "mine"
"Then why would the heirs think the mine was so valuable to go to court over it?", 1, "mine"
"The mine's like a thousand other holes in the ground—it's outlived its time.", 1, "mine"
"Josh salted that mine and strung along the owner just enough to get a salary out of him.", 1, "mine"
"But the mine has a second entrance.", 1, "mine"
"They moved on to anyone involved with the mine property.", 1, "mine"
"Gold, silver and copper ores, have been found in the state, and attempts have been made to mine them, without much success.", 3, "mine"
"This mine proved to be very rich, and paid £800,000 in dividends to the original owners.", 1, "mine"
"His wife motioned toward the mine entrance out of sight in the rocks and trees.", 1, "mine"
"He has a key to the mine gate.", 1, "mine"
"He wanted us to go into the mine with him but when he saw you coming he went up alone.", 1, "mine"
"I told her about the back entrance to the mine.", 1, "mine"
"Yes. But the mine was all tied up in litigation.", 1, "mine"
"This guidebook is a mine of information.", 4, "mine"
"That was his idea, not mine.", 0, "mine"
"The right to mine for rubies by European methods and to levy royalties from persons working by native methods was leased to the Burma Ruby Company, Limited, in 1889.", 3, "mine"
"In 1895 the British Aluminium Company was founded to mine bauxite and manufacture alumina in Ireland, to prepare the necessary electrodes.", 3, "mine"
"When, in the course of centuries, the exhaustion of richer ores shall have forced us to mine, crush and concentrate mechanically or by magnetism the ores which contain only 2 or 3% of iron.", 3, "mine"
"Attempts to mine the copper followed, and the prospectors and hunters who penetrated northward sent to the Cape reports of the existence of a great river whose waters always flowed.", 3, "mine"
"To mine ore or coal at minimum cost it is necessary to work the mine plant at nearly or quite its full capacity and to avoid interruption and delays.", 3, "mine"
"Free Miners of the Forest, who are entitled to mine for coal and iron ore, under leases, known as gales, granted by the principal agent.", 3, "mine"
"Army bomb disposal experts, whoe said that mine was still capable of killing, safely detonated it during the night.", 2, "mine"
"Mine the archives for detailed information.", 3, "mine"
"The warship was destroyed by floating mine.", 2, "mine"
"His left leg was blown off after he stepped on a mine.", 2, "mine"
"Crater of Diamonds State Park is the only place in the world where visitors can mine their own diamonds.", 3, "mine"
"Successfully negotiating the mine field, they discover that the ship is equipped with a time drive.", 1, "mine"
"A mine exploded beneath the vehicle, and the crew were all killed.", 2, "mine"
"Enemy layed an explosive mine to destroy soldier.", 2, "mine"
"Soldier died when inactivating a mine.", 2, "mine"
"If there is an abandoned cars, trucks or other vehicles may have detonated a mine and more could be close by.", 2, "mine"
"Soldier described how he felt when he stepped into a land mine which successfully inactivated.", 2, "mine"
"When exiting a minefield be alert for signs that a mine may detonate.", 2, "mine"
"Her bank account was rarely over two hundred.", 0, "bank"
"The bank was within reach.", 0, "bank"
"She sat on the river bank across from a series of wide, large steps leading up a hill to the park where the Arch stood, framed against a black sky.", 1, "bank"
"Mr. Catlin at the bank says he's as honest as they come.", 0, "bank"
"A bank of clouds was building to the northeast.", 1, "bank"
"How could a man with four million in the bank be in financial danger?", 0, "bank"
"An overseas bank account in the company name contained a balance of one million dollars as startup funds for us to secure quarters for the enterprise.", 0, "bank"
"From the airport window, she watched a cloud bank build in the northwest.", 1, "bank"
"The town of Barwani is situated near the left bank of the Nerbudda.", 1, "bank"
"If you would know the history of these homesteads, inquire at the bank where they are mortgaged.", 0, "bank"
"After breakfast, she closed her account at the bank and turned in her resignation.", 0, "bank"
"He walked up and down the river bank, leading his horse behind him; but he kept his eyes turned always toward the dim, dark spot which he knew was the old North Church.", 1, "bank"
"In less than a week they would be married, but somehow it seemed a violation of his bank account.", 0, "bank"
"He rose and crossed to the fireplace and began to bank the fire as the hall clock struck eleven times.", 2, "bank"
"When they paused on the bank, she could stand the pain no longer.", 1, "bank"
"Was he going to the bank?", 0, "bank"
"She found herself walking along the bank, gaze on the souls that were moving.", 1, "bank"
"Spain, in the province of Leon; situated near the right bank of the river Tuerto, and at the junction of the Salamanca-Corunna and Leon-Astorga railways.", 1, "bank"
"It is situated on the north bank of the Forth, 32 m.", 1, "bank"
"Fuenterrabia stands on the slope of a hill on the left bank of the river Bidassoa, and near the point where its estuary begins.", 1, "bank"
"It lies on the left bank of the South Esk, 74 m.", 1, "bank"
"Thus the Salian Franks united under their rule all the Franks on the left bank of the Rhine.", 1, "bank"
"The rain bank the soil up behind the gate", 2, "bank"
"The first private state bank was opened in 1817", 0, "bank"
"The upper river and the left bank of the lower river of the Cavalla are in French territory.", 1, "bank"
"Meshed has telegraph (since 1876) and post (since 1879) offices, and the Imperial bank of Persia opened a branch here in 1891.", 0, "bank"
"For two years he acted as manager of his father's bank, and in 1830 was inducted to his first charge, Arbirlot, in Forfarshire, where he adopted a vivid dramatic style of preaching adapted to his congregation of peasants, farmers and weavers.", 0, "bank"
"It stands near the river bank on the S.W.", 1, "bank"
"the bank of Scotland is at the head of the Mound.", 0, "bank"
"They still had a bank Note Reporter to print, and soon got the printing of a tri-weekly paper, the Constitutionalist, the organ of some lottery dealers.", 0, "bank"
"But I can see a path.", 0, "a"
"She is not a child.", 0, "a"
"He was dressed in black, and had a very pleasant face.", 0, "a"
"Plants valuable for their fibre number about 300, and among them is the abaca (Musa texilis), from the leaves of which Manila hemp is made.", 0, "abaca"
"The principal crops are hemp abaca, sugar, tobacco, coco-nuts and rice.", 0, "abaca"
"The soil in its vicinity is rich, producing rice, Indian corn, sugar, pepper, cacao, cotton, abaca, tobacco and copra.", 0, "abaca"
"Carigara is open to coast trade, exports large quantities of hemp, raises much rice, and manufactures cotton and abaca fabrics.", 0, "abaca"
"Can you find out how to use an abacus?", 0, "abacus"
"In his large study, the walls of which were hung to the ceiling with Persian rugs, bearskins, and weapons, sat Dolokhov in a traveling cloak and high boots, at an open desk on which lay an abacus and some bundles of paper money.", 0, "abacus"
"They didn't have calculators in Victorian schools, but they did have the abacus!", 0, "abacus"
"Thus the part of B caused by the permanent magnetism of hard iron must be corrected by permanent magnets horizontally placed in a fore and aft direction; the other part caused by vertical soft iron by means of bars of vertical soft iron, called Flinders bars, before or abaft the compass.", 0, "abaft" 
"B has reference to horizontal forces acting in a longitudinal direction in the ship, and caused partly by the permanent magnetism of hard iron, partly by vertical induction in vertical soft iron either before or abaft the compass.", 0, "abaft"
"Maximilian did not, however, abandon the struggle in the Netherlands.", 0, "abandon"
